locality_id,hot_loc,postal_code,pc_loc,km,hours
L2390329,"51.0292262,-114.056848",T2C0X4,"50.9801825,-114.015448666667",8.94,0.19
L2390329,"51.0292262,-114.056848",T2C3V6,"50.9801825,-114.015448666667",8.94,0.19
L2390329,"51.0292262,-114.056848",T2C4H8,"50.9801825,-114.015448666667",8.94,0.19
L2390329,"51.0292262,-114.056848",T2C0N9,"50.9801825,-114.015448666667",8.94,0.19
L2390329,"51.0292262,-114.056848",T2C4C2,"50.9801825,-114.015448666667",8.94,0.19
L2390329,"51.0292262,-114.056848",T2C3P7,"50.9801825,-114.015448666667",8.94,0.19
L1496701,"50.9031505,-114.0100462",T2C0X4,"50.9801825,-114.015448666667",21.47,0.31
L1496701,"50.9031505,-114.0100462",T2C3V6,"50.9801825,-114.015448666667",21.47,0.31
L1496701,"50.9031505,-114.0100462",T2C4H8,"50.9801825,-114.015448666667",21.47,0.31
L1496701,"50.9031505,-114.0100462",T2C0N9,"50.9801825,-114.015448666667",21.47,0.31
L1496701,"50.9031505,-114.0100462",T2C4C2,"50.9801825,-114.015448666667",21.47,0.31
L1496701,"50.9031505,-114.0100462",T2C3P7,"50.9801825,-114.015448666667",21.47,0.31
L879045,"50.8893184,-114.0070252",T2C0X4,"50.9801825,-114.015448666667",24.19,0.35
L879045,"50.8893184,-114.0070252",T2C3V6,"50.9801825,-114.015448666667",24.19,0.35
L879045,"50.8893184,-114.0070252",T2C4H8,"50.9801825,-114.015448666667",24.19,0.35
L879045,"50.8893184,-114.0070252",T2C0N9,"50.9801825,-114.015448666667",24.19,0.35
L879045,"50.8893184,-114.0070252",T2C4C2,"50.9801825,-114.015448666667",24.19,0.35
L879045,"50.8893184,-114.0070252",T2C3P7,"50.9801825,-114.015448666667",24.19,0.35
L283710,"51.0547884,-114.068837",T2C0X4,"50.9801825,-114.015448666667",14.69,0.26
L283710,"51.0547884,-114.068837",T2C3V6,"50.9801825,-114.015448666667",14.69,0.26
L283710,"51.0547884,-114.068837",T2C4H8,"50.9801825,-114.015448666667",14.69,0.26
L283710,"51.0547884,-114.068837",T2C0N9,"50.9801825,-114.015448666667",14.69,0.26
L283710,"51.0547884,-114.068837",T2C4C2,"50.9801825,-114.015448666667",14.69,0.26
L283710,"51.0547884,-114.068837",T2C3P7,"50.9801825,-114.015448666667",14.69,0.26
L349379,"50.9807589,-114.1164323",T2C0X4,"50.9801825,-114.015448666667",11.44,0.22
L349379,"50.9807589,-114.1164323",T2C3V6,"50.9801825,-114.015448666667",11.44,0.22
L349379,"50.9807589,-114.1164323",T2C4H8,"50.9801825,-114.015448666667",11.44,0.22
L349379,"50.9807589,-114.1164323",T2C0N9,"50.9801825,-114.015448666667",11.44,0.22
L349379,"50.9807589,-114.1164323",T2C4C2,"50.9801825,-114.015448666667",11.44,0.22
L349379,"50.9807589,-114.1164323",T2C3P7,"50.9801825,-114.015448666667",11.44,0.22
L345997,"51.09163,-114.17685",T2C0X4,"50.9801825,-114.015448666667",21.54,0.37
L345997,"51.09163,-114.17685",T2C3V6,"50.9801825,-114.015448666667",21.54,0.37
L345997,"51.09163,-114.17685",T2C4H8,"50.9801825,-114.015448666667",21.54,0.37
L345997,"51.09163,-114.17685",T2C0N9,"50.9801825,-114.015448666667",21.54,0.37
L345997,"51.09163,-114.17685",T2C4C2,"50.9801825,-114.015448666667",21.54,0.37
L345997,"51.09163,-114.17685",T2C3P7,"50.9801825,-114.015448666667",21.54,0.37
L1466360,"50.9370795,-114.0091308",T2C0X4,"50.9801825,-114.015448666667",12.7,0.22
L1466360,"50.9370795,-114.0091308",T2C3V6,"50.9801825,-114.015448666667",12.7,0.22
L1466360,"50.9370795,-114.0091308",T2C4H8,"50.9801825,-114.015448666667",12.7,0.22
L1466360,"50.9370795,-114.0091308",T2C0N9,"50.9801825,-114.015448666667",12.7,0.22
L1466360,"50.9370795,-114.0091308",T2C4C2,"50.9801825,-114.015448666667",12.7,0.22
L1466360,"50.9370795,-114.0091308",T2C3P7,"50.9801825,-114.015448666667",12.7,0.22
L1405638,"50.9336108,-114.0848091",T2C0X4,"50.9801825,-114.015448666667",14.24,0.25
L1405638,"50.9336108,-114.0848091",T2C3V6,"50.9801825,-114.015448666667",14.24,0.25
L1405638,"50.9336108,-114.0848091",T2C4H8,"50.9801825,-114.015448666667",14.24,0.25
L1405638,"50.9336108,-114.0848091",T2C0N9,"50.9801825,-114.015448666667",14.24,0.25
L1405638,"50.9336108,-114.0848091",T2C4C2,"50.9801825,-114.015448666667",14.24,0.25
L1405638,"50.9336108,-114.0848091",T2C3P7,"50.9801825,-114.015448666667",14.24,0.25
L364690,"51.0099206,-114.2077732",T2C0X4,"50.9801825,-114.015448666667",15.98,0.25
L364690,"51.0099206,-114.2077732",T2C3V6,"50.9801825,-114.015448666667",15.98,0.25
L364690,"51.0099206,-114.2077732",T2C4H8,"50.9801825,-114.015448666667",15.98,0.25
L364690,"51.0099206,-114.2077732",T2C0N9,"50.9801825,-114.015448666667",15.98,0.25
L364690,"51.0099206,-114.2077732",T2C4C2,"50.9801825,-114.015448666667",15.98,0.25
L364690,"51.0099206,-114.2077732",T2C3P7,"50.9801825,-114.015448666667",15.98,0.25
L430047,"50.8409441,-113.9521962",T2C0X4,"50.9801825,-114.015448666667",27.94,0.33
L430047,"50.8409441,-113.9521962",T2C3V6,"50.9801825,-114.015448666667",27.94,0.33
L430047,"50.8409441,-113.9521962",T2C4H8,"50.9801825,-114.015448666667",27.94,0.33
L430047,"50.8409441,-113.9521962",T2C0N9,"50.9801825,-114.015448666667",27.94,0.33
L430047,"50.8409441,-113.9521962",T2C4C2,"50.9801825,-114.015448666667",27.94,0.33
L430047,"50.8409441,-113.9521962",T2C3P7,"50.9801825,-114.015448666667",27.94,0.33
L161173,"50.974445,-114.121544",T2C0X4,"50.9801825,-114.015448666667",11.59,0.21
L161173,"50.974445,-114.121544",T2C3V6,"50.9801825,-114.015448666667",11.59,0.21
L161173,"50.974445,-114.121544",T2C4H8,"50.9801825,-114.015448666667",11.59,0.21
L161173,"50.974445,-114.121544",T2C0N9,"50.9801825,-114.015448666667",11.59,0.21
L161173,"50.974445,-114.121544",T2C4C2,"50.9801825,-114.015448666667",11.59,0.21
L161173,"50.974445,-114.121544",T2C3P7,"50.9801825,-114.015448666667",11.59,0.21
L2345069,"50.9135324,-114.0039682",T2C0X4,"50.9801825,-114.015448666667",13.44,0.22
L2345069,"50.9135324,-114.0039682",T2C3V6,"50.9801825,-114.015448666667",13.44,0.22
L2345069,"50.9135324,-114.0039682",T2C4H8,"50.9801825,-114.015448666667",13.44,0.22
L2345069,"50.9135324,-114.0039682",T2C0N9,"50.9801825,-114.015448666667",13.44,0.22
L2345069,"50.9135324,-114.0039682",T2C4C2,"50.9801825,-114.015448666667",13.44,0.22
L2345069,"50.9135324,-114.0039682",T2C3P7,"50.9801825,-114.015448666667",13.44,0.22
L592475,"51.0619507,-114.1556311",T2C0X4,"50.9801825,-114.015448666667",20.03,0.36
L592475,"51.0619507,-114.1556311",T2C3V6,"50.9801825,-114.015448666667",20.03,0.36
L592475,"51.0619507,-114.1556311",T2C4H8,"50.9801825,-114.015448666667",20.03,0.36
L592475,"51.0619507,-114.1556311",T2C0N9,"50.9801825,-114.015448666667",20.03,0.36
L592475,"51.0619507,-114.1556311",T2C4C2,"50.9801825,-114.015448666667",20.03,0.36
L592475,"51.0619507,-114.1556311",T2C3P7,"50.9801825,-114.015448666667",20.03,0.36
L1312397,"50.9289271,-114.1321086",T2C0X4,"50.9801825,-114.015448666667",18.17,0.33
L1312397,"50.9289271,-114.1321086",T2C3V6,"50.9801825,-114.015448666667",18.17,0.33
L1312397,"50.9289271,-114.1321086",T2C4H8,"50.9801825,-114.015448666667",18.17,0.33
L1312397,"50.9289271,-114.1321086",T2C0N9,"50.9801825,-114.015448666667",18.17,0.33
L1312397,"50.9289271,-114.1321086",T2C4C2,"50.9801825,-114.015448666667",18.17,0.33
L1312397,"50.9289271,-114.1321086",T2C3P7,"50.9801825,-114.015448666667",18.17,0.33
