pc_loc,hot_loc
"50.9801825,-114.015448666667","50.7980895,-114.8468122"
"50.9801825,-114.015448666667","50.8627443,-114.7954559"
"50.9801825,-114.015448666667","50.8429257,-114.8487139"
"50.9801825,-114.015448666667","50.858334,-114.7941598"
"50.9801825,-114.015448666667","50.5224824,-114.8401684"
"50.9801825,-114.015448666667","50.5209579,-114.7725981"
"50.9801825,-114.015448666667","50.793767,-114.8556157"
"50.9801825,-114.015448666667","50.8624904,-114.7936736"
"50.9801067142857,-114.101655","50.5969496,-114.9880251"
"50.9801067142857,-114.101655","50.7980895,-114.8468122"
"50.9801067142857,-114.101655","50.8627443,-114.7954559"
"50.9801067142857,-114.101655","50.6352591,-115.0207181"
"50.9801067142857,-114.101655","50.60375,-114.98474"
"50.9801067142857,-114.101655","50.8429257,-114.8487139"
"50.9801067142857,-114.101655","50.858334,-114.7941598"
"50.9801067142857,-114.101655","50.5224824,-114.8401684"
"50.9801067142857,-114.101655","50.5209579,-114.7725981"
"50.9801067142857,-114.101655","50.793767,-114.8556157"
"50.9801067142857,-114.101655","50.8624904,-114.7936736"
"51.174486,-115.571193","51.32747,-116.18071"
"51.174486,-115.571193","50.5969496,-114.9880251"
"51.174486,-115.571193","50.7980895,-114.8468122"
"51.174486,-115.571193","50.8627443,-114.7954559"
"51.174486,-115.571193","51.4842692,-116.0776806"
"51.174486,-115.571193","50.6352591,-115.0207181"
"51.174486,-115.571193","50.60375,-114.98474"
"51.174486,-115.571193","50.8429257,-114.8487139"
"51.174486,-115.571193","50.858334,-114.7941598"
"51.174486,-115.571193","50.793767,-114.8556157"
"51.174486,-115.571193","50.8624904,-114.7936736"
"51.099515,-114.08365725","50.7980895,-114.8468122"
"51.099515,-114.08365725","50.8627443,-114.7954559"
"51.099515,-114.08365725","50.8429257,-114.8487139"
"51.099515,-114.08365725","50.858334,-114.7941598"
"51.099515,-114.08365725","50.793767,-114.8556157"
"51.099515,-114.08365725","50.8624904,-114.7936736"
"51.1166473571429,-114.148970285714","50.7980895,-114.8468122"
"51.1166473571429,-114.148970285714","50.8627443,-114.7954559"
"51.1166473571429,-114.148970285714","50.6352591,-115.0207181"
"51.1166473571429,-114.148970285714","50.60375,-114.98474"
"51.1166473571429,-114.148970285714","50.8429257,-114.8487139"
"51.1166473571429,-114.148970285714","50.858334,-114.7941598"
"51.1166473571429,-114.148970285714","50.5224824,-114.8401684"
"51.1166473571429,-114.148970285714","50.5209579,-114.7725981"
"51.1166473571429,-114.148970285714","50.793767,-114.8556157"
"51.1166473571429,-114.148970285714","50.8624904,-114.7936736"
"50.9801825,-114.015448666667","50.6352591,-115.0207181"
"50.9801825,-114.015448666667","50.60375,-114.98474"
"49.569802,-114.378208","49.0172699,-114.0461969"
"49.569802,-114.378208","49.1308275,-114.02692"
"49.569802,-114.378208","49.1293831,-114.029181"
"49.569802,-114.378208","49.0977994,-113.9510707"
"49.569802,-114.378208","49.0529453,-114.0582561"
"49.569802,-114.378208","49.0247222,-113.9975"
"49.569802,-114.378208","49.0783708,-113.9677638"
"49.569802,-114.378208","49.0173825,-114.0564537"
"49.569802,-114.378208","49.0249688,-113.6857282"
"49.569802,-114.378208","49.1206551,-113.9994755"
"51.195784,-114.476901","50.5969496,-114.9880251"
"51.195784,-114.476901","50.7980895,-114.8468122"
"51.195784,-114.476901","50.8627443,-114.7954559"
"51.195784,-114.476901","50.6352591,-115.0207181"
"51.195784,-114.476901","50.60375,-114.98474"
"51.195784,-114.476901","50.8429257,-114.8487139"
"51.195784,-114.476901","50.858334,-114.7941598"
"51.195784,-114.476901","50.5224824,-114.8401684"
"51.195784,-114.476901","50.5209579,-114.7725981"
"51.195784,-114.476901","50.793767,-114.8556157"
"51.195784,-114.476901","50.8624904,-114.7936736"
"51.0313607142857,-114.186204714286","50.5969496,-114.9880251"
"51.0313607142857,-114.186204714286","50.7980895,-114.8468122"
"51.0313607142857,-114.186204714286","50.8627443,-114.7954559"
"51.0313607142857,-114.186204714286","50.6352591,-115.0207181"
"51.0313607142857,-114.186204714286","50.60375,-114.98474"
"51.0313607142857,-114.186204714286","50.8429257,-114.8487139"
"51.0313607142857,-114.186204714286","50.858334,-114.7941598"
"51.0313607142857,-114.186204714286","50.5224824,-114.8401684"
"51.0313607142857,-114.186204714286","50.5209579,-114.7725981"
"51.0313607142857,-114.186204714286","50.793767,-114.8556157"
"51.0313607142857,-114.186204714286","50.8624904,-114.7936736"
"51.0985833333333,-114.127522","50.7980895,-114.8468122"
"51.0985833333333,-114.127522","50.8627443,-114.7954559"
"51.0985833333333,-114.127522","50.8429257,-114.8487139"
"51.0985833333333,-114.127522","50.858334,-114.7941598"
"51.0985833333333,-114.127522","50.5209579,-114.7725981"
"51.0985833333333,-114.127522","50.793767,-114.8556157"
"51.0985833333333,-114.127522","50.8624904,-114.7936736"
"51.0188376666667,-114.137725166667","50.5969496,-114.9880251"
"51.0188376666667,-114.137725166667","50.7980895,-114.8468122"
"51.0188376666667,-114.137725166667","50.8627443,-114.7954559"
"51.0188376666667,-114.137725166667","50.6352591,-115.0207181"
"51.0188376666667,-114.137725166667","50.60375,-114.98474"
"51.0188376666667,-114.137725166667","50.8429257,-114.8487139"
"51.0188376666667,-114.137725166667","50.858334,-114.7941598"
"51.0188376666667,-114.137725166667","50.5224824,-114.8401684"
"51.0188376666667,-114.137725166667","50.5209579,-114.7725981"
"51.0188376666667,-114.137725166667","50.793767,-114.8556157"
"51.0188376666667,-114.137725166667","50.8624904,-114.7936736"
"50.934515125,-114.02741525","50.5969496,-114.9880251"
"50.934515125,-114.02741525","50.7980895,-114.8468122"
"50.934515125,-114.02741525","50.8627443,-114.7954559"
"50.934515125,-114.02741525","50.6352591,-115.0207181"
"50.934515125,-114.02741525","50.60375,-114.98474"
"50.934515125,-114.02741525","50.8429257,-114.8487139"
"50.934515125,-114.02741525","50.858334,-114.7941598"
"50.934515125,-114.02741525","50.5224824,-114.8401684"
"50.934515125,-114.02741525","50.5209579,-114.7725981"
"50.934515125,-114.02741525","50.793767,-114.8556157"
"50.934515125,-114.02741525","50.8624904,-114.7936736"
"51.0630699375,-114.1062215625","50.5969496,-114.9880251"
"51.0630699375,-114.1062215625","50.7980895,-114.8468122"
"51.0630699375,-114.1062215625","50.8627443,-114.7954559"
"51.0630699375,-114.1062215625","50.6352591,-115.0207181"
"51.0630699375,-114.1062215625","50.60375,-114.98474"
"51.0630699375,-114.1062215625","50.8429257,-114.8487139"
"51.0630699375,-114.1062215625","50.858334,-114.7941598"
"51.0630699375,-114.1062215625","50.5224824,-114.8401684"
"51.0630699375,-114.1062215625","50.5209579,-114.7725981"
"51.0630699375,-114.1062215625","50.793767,-114.8556157"
"51.0630699375,-114.1062215625","50.8624904,-114.7936736"
"51.0440662727273,-114.130686","50.5969496,-114.9880251"
"51.0440662727273,-114.130686","50.7980895,-114.8468122"
"51.0440662727273,-114.130686","50.8627443,-114.7954559"
"51.0440662727273,-114.130686","50.6352591,-115.0207181"
"51.0440662727273,-114.130686","50.60375,-114.98474"
"51.0440662727273,-114.130686","50.8429257,-114.8487139"
"51.0440662727273,-114.130686","50.858334,-114.7941598"
"51.0440662727273,-114.130686","50.5224824,-114.8401684"
"51.0440662727273,-114.130686","50.5209579,-114.7725981"
"51.0440662727273,-114.130686","50.793767,-114.8556157"
"51.0440662727273,-114.130686","50.8624904,-114.7936736"
"51.1183244,-114.2392112","50.5969496,-114.9880251"
"51.1183244,-114.2392112","50.7980895,-114.8468122"
"51.1183244,-114.2392112","50.8627443,-114.7954559"
"51.1183244,-114.2392112","50.6352591,-115.0207181"
"51.1183244,-114.2392112","50.60375,-114.98474"
"51.1183244,-114.2392112","50.8429257,-114.8487139"
"51.1183244,-114.2392112","50.858334,-114.7941598"
"51.1183244,-114.2392112","50.5224824,-114.8401684"
"51.1183244,-114.2392112","50.5209579,-114.7725981"
"51.1183244,-114.2392112","50.793767,-114.8556157"
"51.1183244,-114.2392112","50.8624904,-114.7936736"
"50.9198385,-114.087540333333","50.5969496,-114.9880251"
"50.9198385,-114.087540333333","50.7980895,-114.8468122"
"50.9198385,-114.087540333333","50.8627443,-114.7954559"
"50.9198385,-114.087540333333","50.6352591,-115.0207181"
"50.9198385,-114.087540333333","50.60375,-114.98474"
"50.9198385,-114.087540333333","50.8429257,-114.8487139"
"50.9198385,-114.087540333333","50.858334,-114.7941598"
"50.9198385,-114.087540333333","50.5224824,-114.8401684"
"50.9198385,-114.087540333333","50.5209579,-114.7725981"
"50.9198385,-114.087540333333","50.793767,-114.8556157"
"50.9198385,-114.087540333333","50.8624904,-114.7936736"
"53.400363,-117.607434","53.0586103,-118.1105986"
"53.400363,-117.607434","53.0107649,-118.0895734"
"51.0294946666667,-114.339124666667","50.5969496,-114.9880251"
"51.0294946666667,-114.339124666667","50.7980895,-114.8468122"
"51.0294946666667,-114.339124666667","50.8627443,-114.7954559"
"51.0294946666667,-114.339124666667","50.6352591,-115.0207181"
"51.0294946666667,-114.339124666667","50.60375,-114.98474"
"51.0294946666667,-114.339124666667","50.8429257,-114.8487139"
"51.0294946666667,-114.339124666667","50.858334,-114.7941598"
"51.0294946666667,-114.339124666667","50.5224824,-114.8401684"
"51.0294946666667,-114.339124666667","50.5209579,-114.7725981"
"51.0294946666667,-114.339124666667","50.793767,-114.8556157"
"51.0294946666667,-114.339124666667","50.8624904,-114.7936736"
"50.574028,-113.860947","50.5969496,-114.9880251"
"50.574028,-113.860947","50.7980895,-114.8468122"
"50.574028,-113.860947","50.8627443,-114.7954559"
"50.574028,-113.860947","50.60375,-114.98474"
"50.574028,-113.860947","50.8429257,-114.8487139"
"50.574028,-113.860947","50.858334,-114.7941598"
"50.574028,-113.860947","50.5224824,-114.8401684"
"50.574028,-113.860947","50.5209579,-114.7725981"
"50.574028,-113.860947","50.793767,-114.8556157"
